Launch Point, Capturing point, Data Path Delay, Number of cominational cells in data path
cpu_state_reg[0]/CK,cpuregs_reg[11][11]/D,0.396,13
reg_pc_reg[12]/CK,cpuregs_reg[14][22]/D,0.408,14
decoded_imm_j_reg[11]/CK,reg_op2_reg[18]/D,0.4,10
reg_pc_reg[7]/CK,cpuregs_reg[13][8]/D,0.344,8
reg_pc_reg[7]/CK,cpuregs_reg[12][8]/D,0.344,8
reg_pc_reg[12]/CK,cpuregs_reg[25][22]/D,0.405,14
reg_pc_reg[12]/CK,cpuregs_reg[23][20]/D,0.406,14
reg_pc_reg[7]/CK,cpuregs_reg[9][8]/D,0.344,8
reg_pc_reg[12]/CK,cpuregs_reg[28][22]/D,0.408,14
reg_pc_reg[12]/CK,cpuregs_reg[20][22]/D,0.408,14
reg_pc_reg[12]/CK,cpuregs_reg[21][22]/D,0.408,14
reg_pc_reg[7]/CK,reg_out_reg[12]/D,0.393,11
reg_pc_reg[12]/CK,cpuregs_reg[26][23]/D,0.402,14
cpu_state_reg[0]/CK,cpuregs_reg[14][11]/D,0.394,12
reg_pc_reg[12]/CK,cpuregs_reg[22][20]/D,0.408,14
reg_pc_reg[12]/CK,cpuregs_reg[26][20]/D,0.407,14
reg_pc_reg[12]/CK,cpuregs_reg[19][20]/D,0.408,14
reg_pc_reg[7]/CK,cpuregs_reg[8][8]/D,0.344,8
reg_pc_reg[7]/CK,reg_out_reg[13]/D,0.394,10
reg_pc_reg[7]/CK,cpuregs_reg[5][8]/D,0.343,8
reg_pc_reg[7]/CK,cpuregs_reg[4][8]/D,0.343,8
reg_pc_reg[12]/CK,cpuregs_reg[24][20]/D,0.406,14
reg_pc_reg[12]/CK,cpuregs_reg[25][20]/D,0.406,14
reg_pc_reg[12]/CK,cpuregs_reg[28][20]/D,0.406,14
reg_pc_reg[12]/CK,cpuregs_reg[29][20]/D,0.406,14
reg_pc_reg[7]/CK,cpuregs_reg[1][8]/D,0.343,8
reg_pc_reg[12]/CK,cpuregs_reg[20][20]/D,0.406,14
reg_pc_reg[12]/CK,cpuregs_reg[13][20]/D,0.356,11
reg_pc_reg[12]/CK,cpuregs_reg[30][20]/D,0.405,14
cpu_state_reg[0]/CK,cpuregs_reg[11][8]/D,0.393,13
reg_pc_reg[12]/CK,cpuregs_reg[21][23]/D,0.402,14
reg_pc_reg[12]/CK,cpuregs_reg[9][20]/D,0.356,11
reg_pc_reg[12]/CK,cpuregs_reg[31][20]/D,0.405,14
cpu_state_reg[0]/CK,cpuregs_reg[15][11]/D,0.394,12
reg_pc_reg[12]/CK,cpuregs_reg[12][20]/D,0.358,11
reg_pc_reg[12]/CK,cpuregs_reg[8][20]/D,0.358,11
reg_pc_reg[12]/CK,cpuregs_reg[27][20]/D,0.406,14
cpu_state_reg[0]/CK,cpuregs_reg[15][8]/D,0.394,12
reg_pc_reg[12]/CK,cpuregs_reg[18][20]/D,0.405,14
cpu_state_reg[0]/CK,cpuregs_reg[14][8]/D,0.392,12
reg_pc_reg[12]/CK,cpuregs_reg[17][23]/D,0.359,11
reg_pc_reg[12]/CK,cpuregs_reg[16][23]/D,0.359,11
reg_pc_reg[12]/CK,cpuregs_reg[22][23]/D,0.402,14
reg_pc_reg[12]/CK,cpuregs_reg[19][23]/D,0.403,14
reg_pc_reg[12]/CK,cpuregs_reg[14][20]/D,0.4,14
reg_pc_reg[12]/CK,cpuregs_reg[24][23]/D,0.398,14
reg_pc_reg[12]/CK,cpuregs_reg[31][23]/D,0.402,14
reg_op1_reg[3]/CK,alu_out_q_reg[14]/D,0.383,13
reg_pc_reg[12]/CK,cpuregs_reg[28][23]/D,0.402,14
reg_op1_reg[3]/CK,alu_out_q_reg[24]/D,0.382,15
reg_pc_reg[12]/CK,cpuregs_reg[24][29]/D,0.402,13
reg_pc_reg[12]/CK,cpuregs_reg[11][20]/D,0.4,14
reg_pc_reg[12]/CK,cpuregs_reg[29][23]/D,0.402,14
reg_pc_reg[12]/CK,cpuregs_reg[30][23]/D,0.402,14
reg_pc_reg[12]/CK,cpuregs_reg[27][23]/D,0.402,14
reg_pc_reg[12]/CK,cpuregs_reg[25][29]/D,0.402,13
reg_pc_reg[12]/CK,cpuregs_reg[5][20]/D,0.355,11
decoded_imm_j_reg[11]/CK,reg_op2_reg[11]/D,0.395,13
reg_pc_reg[7]/CK,reg_out_reg[16]/D,0.385,10
reg_pc_reg[12]/CK,cpuregs_reg[1][17]/D,0.355,11
reg_pc_reg[12]/CK,cpuregs_reg[18][23]/D,0.402,14
reg_op1_reg[3]/CK,alu_out_q_reg[7]/D,0.389,12
reg_pc_reg[12]/CK,cpuregs_reg[4][17]/D,0.355,11
cpu_state_reg[0]/CK,cpuregs_reg[11][26]/D,0.401,13
reg_pc_reg[12]/CK,cpuregs_reg[21][20]/D,0.404,14
reg_pc_reg[12]/CK,cpuregs_reg[23][23]/D,0.402,14
reg_op1_reg[3]/CK,alu_out_q_reg[12]/D,0.383,14
reg_pc_reg[12]/CK,cpuregs_reg[20][23]/D,0.401,14
reg_pc_reg[12]/CK,cpuregs_reg[7][20]/D,0.398,14
reg_pc_reg[12]/CK,cpuregs_reg[13][16]/D,0.349,11
